model,dataset,source,series,runtime_sec,n_train,n_test,sliding_window,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
LSTMAD,Daphnet,mtsbench,Daphnet/Daphnet_S07R01E0,23.18,14223,59392,81,0.0813884922525264,0.5545428305431542,0.09129903117068008,0.5962920502190451,0.0012202562538133007,0.3960832313341493,0.09999999999999956,0.0065150949549752386,0.26305078726220793
LSTMAD,Daphnet,mtsbench,Daphnet/Daphnet_S07R02E0,10.86,5760,23040,78,0.045449421479275956,0.38286964797872525,0.05157147860485846,0.4285609493358551,0.002967359050445104,0.40047534165181226,0.14814814814814767,0.01670803692463889,0.4007741560007963
LSTMAD,Daphnet,mtsbench,Daphnet/Daphnet_S08R01E0,2.86,2944,11776,63,0.12836145028385076,0.28146317188787506,0.13117313622573998,0.291897168339669,0.023125699365908244,0.9090160559901194,0.1230158730158729,0.14051893024732795,0.5274608662830836
LSTMAD,Daphnet,mtsbench,Daphnet/Daphnet_S08R01E1,3.23,1340,8192,67,0.399193520797191,0.4141182342062487,0.4133616964408713,0.4327088145617733,0.017163048965169108,0.9915275994865211,0.5112781954887213,0.14321673945075464,0.6583465625197639
LSTMAD,Daphnet,mtsbench,Daphnet/Daphnet_S08R01E2,4.73,2688,10752,65,0.13696566525530793,0.6353054836356211,0.1438453029148783,0.6563536945047754,0.05443234836702955,0.9168831168831169,0.2671755725190837,0.06295997558733674,0.7730301416055316
LSTMAD,Daphnet,mtsbench,Daphnet/Daphnet_S08R01E3,2.05,1499,8704,65,0.49509593596624885,0.47790445959416766,0.511195284233178,0.49797939456539186,0.02534510070151618,0.99781784770874,0.8549618320610682,0.17314880667773588,0.8603714181645189
LSTMAD,Daphnet,mtsbench,Daphnet/Daphnet_S09R01E0,3.68,1920,7680,72,0.04844676173737085,0.5173279086786199,0.07314994963579864,0.6461069381308668,0.025,0.6280752532561505,0.07100591715976318,0.020348277592479636,0.7293487851951845
LSTMAD,Daphnet,mtsbench,Daphnet/Daphnet_S09R01E1,3.21,1363,8704,67,0.3732792033654679,0.38996802506491557,0.3901676066501186,0.4156184407806927,0.01780264496439471,0.8997741389045737,0.4117647058823525,0.10864346382827526,0.6271354016980365
LSTMAD,Daphnet,mtsbench,Daphnet/Daphnet_S09R01E2,6.64,3592,28160,64,0.4544632324377542,0.9167642112795144,0.4631220451236206,0.9187533509110319,0.006179196704428424,0.9704865727200213,0.3582089552238802,0.06829584591998995,0.7424087024456505
LSTMAD,Daphnet,mtsbench,Daphnet/Daphnet_S09R01E3,14.02,8915,36864,70,0.1672500583704399,0.4496130874886781,0.17086418241192985,0.4675074208399929,0.0500947169017049,0.959685569904548,0.588017294626312,0.022891949228272798,0.8146989992326067
